TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2014",BIOL,8298,24,"Doctoral Research",Cole,"Blaine J",,,,,,,
"Summer 2014",BIOL,8398,21,"Doctoral Research",Chung,Sang-Hyuk,,,,,,,
"Summer 2014",BIOL,8498,7,"Doctoral Research",Sater,Amy,,,,,,,
"Summer 2014",BIOL,8498,10,"Doctoral Research",Pennings,"Steven C",,,,,,,
"Summer 2014",BIOL,8498,18,"Doctoral Research",Dryer,"Stuart E",,,,,,,
"Summer 2014",BIOL,8498,19,"Doctoral Research",Lin,Chin-Yo,,,,,,,
"Summer 2014",BIOL,8498,23,"Doctoral Research",Khurana,Seema,,,,,,,
"Summer 2014",BIOL,8498,24,"Doctoral Research",Khurana,Seema,,,,,,,
"Summer 2014",BIOL,8498,25,"Doctoral Research",Zhang,"Shaun Xiaoliu",,,,,,,
"Summer 2014",BIOL,8498,26,"Doctoral Research",Schwartz,"Robert J",,,,,,,
"Summer 2014",BIOL,8498,27,"Doctoral Research",Gustafsson,Jan-Ake,,,,,,,
"Summer 2014",BIOL,8498,29,"Doctoral Research",Williams,"Cecilia Marie",,,,,,,
"Summer 2014",BIOL,8498,30,"Doctoral Research",Cole,"Blaine J",,,,,,,
"Summer 2014",BIOL,8498,31,"Doctoral Research",Frigo,"Daniel E",,,,,,,
"Summer 2014",BIOL,8698,3,"Doctoral Research",Pennings,"Steven C",,,,,,,
"Summer 2014",BIOL,8698,6,"Doctoral Research",Graur,Dan,,,,,,,
"Summer 2014",BIOL,8698,9,"Doctoral Research",Azevedo,Ricardo,,,,,,,
