TERM,SUBJECT,"CATALOG NBR","CLASS SECTION","COURSE DESCR","INSTR LAST NAME","INSTR FIRST NAME",A,B,C,D,F,"TOTAL DROPPED","AVG GPA"
"Summer 2016",CHEM,6698,13,"Special Problems",Lee,"T Randall",,,,,,,
"Summer 2016",CHEM,6698,14,"Special Problems",Lubchenko,Vassiliy,,,,,,,
"Summer 2016",CHEM,6698,15,"Special Problems",May,"Jeremy A",,,,,,,
"Summer 2016",CHEM,6698,16,"Special Problems",Miljanic,"Ognjen S",,,,,,,
"Summer 2016",CHEM,6698,19,"Special Problems",Xu,Shoujun,,,,,,,
"Summer 2016",CHEM,6698,20,"Special Problems",Do,"Loi H",,,,,,,
"Summer 2016",CHEM,6698,22,"Special Problems",Yang,Ding-Shyue,,,,,,,
"Summer 2016",CHEM,6698,23,"Special Problems",Coltart,"Don M.",,,,,,,
"Summer 2016",CHEM,6698,24,"Special Problems",Teets,Thomas,,,,,,,
"Summer 2016",CHEM,6698,25,"Special Problems",Brgoch,Jakoah,,,,,,,
"Summer 2016",CHEM,6698,26,"Special Problems",Wu,Judy,,,,,,,
"Summer 2016",CHEM,6698,27,"Special Problems",Ren,Zhifeng,,,,,,,
"Summer 2016",CHEM,8398,1,"Doctoral Research",Baldelli,Steve,,,,,,,
"Summer 2016",CHEM,8398,4,"Doctoral Research",Cai,Chengzhi,,,,,,,
"Summer 2016",CHEM,8398,6,"Doctoral Research",Gilbertson,"Scott R",,,,,,,
"Summer 2016",CHEM,8398,7,"Doctoral Research",Guloy,"Arnold M",,,,,,,
"Summer 2016",CHEM,8398,10,"Doctoral Research",Jacobson,"Allan J",,,,,,,
"Summer 2016",CHEM,8398,19,"Doctoral Research",Xu,Shoujun,,,,,,,
"Summer 2016",CHEM,8398,21,"Doctoral Research",Cuny,"Gregory D",,,,,,,
"Summer 2016",CHEM,8398,22,"Doctoral Research",Do,"Loi H",,,,,,,
"Summer 2016",CHEM,8399,1,"Doctoral Dissertation",Baldelli,Steve,,,,,,,
"Summer 2016",CHEM,8399,4,"Doctoral Dissertation",Cai,Chengzhi,,,,,,,
"Summer 2016",CHEM,8399,20,"Doctoral Dissertation",Cuny,"Gregory D",,,,,,,
"Summer 2016",CHEM,8698,1,"Doctoral Research",Baldelli,Steve,,,,,,,
"Summer 2016",CHEM,8698,2,"Doctoral Research",Bittner,"Eric R",,,,,,,
"Summer 2016",CHEM,8698,5,"Doctoral Research",Daugulis,Olafs,,,,,,,
"Summer 2016",CHEM,8698,6,"Doctoral Research",Gilbertson,"Scott R",,,,,,,
