TERM,SUBJECT,CATALOG NBR,CLASS SECTION,CLASS NUMBER,COURSE DESCR,INSTR LAST NAME,INSTR FIRST NAME,A,B,C,D,F,SATISFACTORY,UNSATISFACTORY,NOT REPORTED,TOTAL DROPPED,AVG GPA
Summer 2021,THEA,6284,1,14592,Program Management,Allen,Robert Scott,10,0,0,0,0,0,0,0,0,4
Summer 2021,HLT,4310,2,18979,Program Planning for Health,Nicholson,Vanessa Janel,27,7,4,1,0,0,0,0,0,3.445
Summer 2021,NUTR,4353,2,15747,Cultural Comp for Nutr Prof,Hatem,Cherine,24,16,10,3,1,0,0,0,2,3.038
Summer 2021,MANA,   6A32,2,18694,Organizational Behavior & Mgt,Witt,Lawrence A,24,1,0,0,0,0,0,0,0,3.96
Summer 2021,ATP,6303,1,16000,Gen Med/Pharm 1 -System & Eval,Knoblauch,Mark Alan,6,10,0,0,1,0,0,0,1,3.176
Summer 2021,MATH,1330,5,13757,Precalculus,Douglas,Casey,16,7,3,2,1,0,0,0,6,3.207
Summer 2021,PHYS,8398,19,10850,Doctoral Research,Lubchenko,Vassiliy,0,0,0,0,0,1,0,0,0,0
Summer 2021,PHIL,1301,1,15849,Intro To Philosophy,Haaga,Curtis W,33,11,2,0,0,0,0,0,0,3.624
Summer 2021,AAS,2320,1,14862,Intro To African American Stdy,Lyons,Da' Vonte,19,10,2,1,3,0,0,0,0,3.143
Summer 2021,CIS,2334,2,18727,Information Systems Applicatns,Faiyaz,Sajida,13,15,0,2,0,0,0,0,1,3.267
Summer 2021,BCHS,6398,4,19305,Special Problems,Bawa-Khalfe,Tasneem,0,0,0,0,0,2,0,0,0,0
Summer 2021,COMM,4354,1,17907,Organizational Crisis Comm.,Fix,Julie B,7,3,0,0,0,0,0,0,1,3.733
Summer 2021,BUSI,4396,3,19429,Business Internship,Newman,Michael Ray,0,0,0,0,0,5,0,0,0,0
Summer 2021,BIOL,1144,4,13506,Hum Anat Physiol Lab II,Gill,Tejendra,7,5,3,4,0,0,0,0,0,2.789
Summer 2021,MANA,7351,1,15253,Mgt of  Global Organizations,Keller,Robert T,14,1,0,0,0,0,0,0,0,3.823
Summer 2021,LAW,6355,2,13724,Govt Nonprofit Extshp II,Van Arsdel,Kristina G,0,0,0,0,0,2,0,0,0,0
Summer 2021,IDNS,2197,2,19824,Top-Natrl Sci & Mth,Perepelitsa,Irina,0,0,0,0,0,2,0,0,0,0
Summer 2021,ENGI,1331,4,18749,Computing for Engineers,Luna Singh,Jennifer Austin,5,15,11,3,9,0,0,0,12,2.078
Summer 2021,GEOL,8398,4,19169,Doctoral Research,Sun,Jiajia,0,0,0,0,0,2,0,0,0,0
Summer 2021,BCHS,6398,16,19317,Special Problems,Gunaratne,Preethi H,0,0,0,0,0,3,0,0,0,0
Summer 2021,PHAR,5691,1,12972,Drug Information,Tolleson,Shane Russell,0,1,0,0,0,0,0,0,0,3
